strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.05,1.08,460.2,453.6,0,599,25,9,8
A/Bangkok/P3755/2023,1.08,1.06,1.1,299.2,320.8,0,500.3,24,11,10
A/Bhutan/0845/2023,1.09,1.08,1.1,372.2,363.7,0.02564,644.3,23,10,8
A/Busan/1301/2023,0.94,0.92,0.96,371.7,302.3,0,585.4,11,3,3
A/Catalonia/2041146NS/2023,0.97,0.96,0.99,282.9,284.1,0,478,14,6,5
A/EHIME/50/2023,0.92,0.9,0.94,404.5,391.1,0,639.7,15,6,6
A/Finland/391/2023,0.91,0.91,0.92,400.5,396.8,0,496.1,11,6,6
A/Georgia/40/2023,1.06,1.04,1.08,402.4,384.8,0.02564,544.9,21,9,8
A/Jeju/1047/2023,0.87,0.86,0.89,503.8,425.9,0,609.4,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.03,462.6,449.7,0,633.1,23,9,8
A/Netherlands/01693/2023,1.05,1.03,1.06,378.6,347.8,0,529.3,24,11,10
A/Oman/3011/2023,1,0.98,1.01,419.9,428.2,0,564.6,21,9,8
A/Ontario/RV00796/2023,1.17,1.16,1.18,338.6,353.3,0.02564,541.8,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,374.6,365.1,0,551.3,16,6,5
A/Saint-Petersburg/RII-166/2023,1.07,1.06,1.08,366.8,369.8,0.02564,476.3,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.91,504.7,431.6,0,677,14,5,5
A/Solwezi/13-NIC-001/2023,1.01,1,1.02,351.7,380.2,0.02564,541.4,25,10,9
A/SouthDakota/22/2023,0.86,0.82,0.88,399,389.1,0,524.5,12,4,4
A/Sydney/332/2023,1,1,1.01,408,381.2,0,614.9,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,383.2,375.2,0,464.5,12,5,4
A/Victoria/1033/2023,1.03,1.02,1.05,447.1,477.4,0,608.4,20,9,8
A/Massachusetts/18/2022,1,1,1,470.9,442.2,0,497.5,20,8,7
