strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.08,1.07,1.09,120,108.3,0.5789,247.2,23,10,8
A/Finland/391/2023,0.92,0.91,0.92,156.9,146.6,0.4615,220.5,11,6,6
A/Georgia/40/2023,1.1,1.08,1.11,127.1,122.6,0.5897,226.1,21,9,8
A/Jeju/1047/2023,0.88,0.87,0.9,208.5,199.9,0.3077,320.9,11,3,3
A/Ontario/RV00796/2023,1.15,1.14,1.16,99.43,87.52,0.6667,167.9,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,154.1,151,0.4615,271.8,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.07,115,117,0.6667,167.6,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.91,209.1,191.1,0.3333,299.4,14,5,5
A/Sydney/332/2023,1.01,1,1.02,119.8,96.13,0.5385,186.7,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,144.1,152,0.4103,261.5,12,5,4
A/Massachusetts/18/2022,1,1,1,159.6,145.1,0.4872,240.9,20,8,7
