variant,accession,date,weight
A/SENDAI/45/2023,EPI_ISL_18776343,2022-09-12,1.0
A/TECPAN/017FLU/2023,EPI_ISL_18776380,2022-02-12,1.0
A/South_Dakota/22/2023,EPI_ISL_18678073,2022-01-01,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_18776377,2022-02-12,1.0
A/SENDAI/45/2023,EPI_ISL_18776375,2022-02-12,1.0
A/Busan/1301/2023,EPI_ISL_18678066,2022-01-01,1.0
A/Wisconsin/27/2023,EPI_ISL_16613581,2022-10-31,1.0
A/Busan/1301/2023,EPI_ISL_16613580,2022-10-31,1.0
A/Massachusetts/18/2022,EPI_ISL_16613577,2022-10-31,1.0
A/TECPAN/017FLU/2023,EPI_ISL_16613576,2022-10-27,1.0
A/Massachusetts/18/2022,EPI_ISL_16613578,2022-10-28,1.0
A/South_Dakota/22/2023,EPI_ISL_18678058,2022-01-01,1.0
A/Catalonia/2041146NS/2023,EPI_ISL_18776361,2022-07-12,1.0
A/South_Dakota/22/2023,EPI_ISL_18678050,2022-01-01,1.0
A/EHIME/50/2023,EPI_ISL_18776415,2022-04-12,1.0
A/Jeju/1047/2023,EPI_ISL_18776408,2022-10-31,1.0
A/South_Dakota/22/2023,EPI_ISL_18678106,2022-01-01,1.0
other,EPI_ISL_18776407,2022-10-31,1.0
A/Jeju/1047/2023,EPI_ISL_18678097,2022-01-01,1.0
A/Finland/391/2023,EPI_ISL_15368376,2022-09-08,1.0
A/TECPAN/017FLU/2023,EPI_ISL_18678088,2022-01-01,1.0
A/Jeju/1047/2023,EPI_ISL_18678080,2022-01-01,1.0
A/SENDAI/45/2023,EPI_ISL_18776387,2022-07-12,1.0
A/SENDAI/45/2023,EPI_ISL_18776441,2022-09-12,1.0
other,EPI_ISL_12943540,2022-04-25,1.0
A/Finland/391/2023,EPI_ISL_18776426,2022-09-12,1.0
A/Busan/1301/2023,EPI_ISL_12943536,2022-04-15,1.0
A/TECPAN/017FLU/2023,EPI_ISL_18776425,2022-06-12,1.0
A/Busan/1301/2023,EPI_ISL_12943548,2022-04-05,1.0
A/Busan/1301/2023,EPI_ISL_12943544,2022-04-22,1.0
A/South_Dakota/22/2023,EPI_ISL_18678114,2022-01-01,1.0
A/Catalonia/2041146NS/2023,EPI_ISL_18776477,2022-07-12,1.0
A/SENDAI/45/2023,EPI_ISL_18776472,2022-06-12,1.0
A/Finland/391/2023,EPI_ISL_18776449,2022-10-31,1.0
other,EPI_ISL_18776481,2022-01-12,1.0
other,EPI_ISL_18678231,2022-01-01,1.0
other,EPI_ISL_18678222,2022-01-01,1.0
A/TECPAN/017FLU/2023,EPI_ISL_18678214,2022-01-01,1.0
A/Busan/1301/2023,EPI_ISL_18678270,2022-01-01,1.0
other,EPI_ISL_12288092,2022-03-30,1.0
A/South_Dakota/22/2023,EPI_ISL_18678262,2022-01-01,1.0
A/Finland/391/2023,EPI_ISL_18776562,2022-04-11,1.0
A/Finland/391/2023,EPI_ISL_18678256,2022-01-01,1.0
A/South_Dakota/22/2023,EPI_ISL_18678255,2022-01-01,1.0
other,EPI_ISL_18678248,2022-01-01,1.0
A/Massachusetts/18/2022,EPI_ISL_18776553,2022-07-12,1.0
other,EPI_ISL_18678240,2022-01-01,1.0
A/Busan/1301/2023,EPI_ISL_12124604,2022-03-20,1.0
A/Jeju/1047/2023,EPI_ISL_18776083,2022-09-27,1.0
A/Busan/1301/2023,EPI_ISL_12288438,2022-03-12,1.0
other,EPI_ISL_9208217,2022-01-03,1.0
A/SENDAI/45/2023,EPI_ISL_18776069,2022-01-12,1.0
A/Busan/1301/2023,EPI_ISL_14320121,2022-04-26,1.0
A/Busan/1301/2023,EPI_ISL_14320127,2022-03-15,1.0
A/Busan/1301/2023,EPI_ISL_9208233,2022-01-03,1.0
A/Busan/1301/2023,EPI_ISL_14320124,2022-04-18,1.0
other,EPI_ISL_14320125,2022-01-24,1.0
A/Finland/399/2023,EPI_ISL_16384450,2022-09-21,0.3333333333333333
A/SouthSudan/631/2023,EPI_ISL_16384450,2022-09-21,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16384450,2022-09-21,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16384451,2022-10-14,1.0
A/Jeju/1047/2023,EPI_ISL_16384448,2022-09-05,1.0
A/SouthSudan/631/2023,EPI_ISL_16384452,2022-10-03,1.0
A/Jeju/1047/2023,EPI_ISL_16384453,2022-10-17,1.0
A/Finland/399/2023,EPI_ISL_16384440,2022-10-17,0.3333333333333333
A/SouthSudan/631/2023,EPI_ISL_16384440,2022-10-17,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16384440,2022-10-17,0.3333333333333333
other,EPI_ISL_16384441,2022-10-25,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_12124669,2022-04-03,0.3333333333333333
A/SENDAI/45/2023,EPI_ISL_12124669,2022-04-03,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_12124669,2022-04-03,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_16384447,2022-08-24,1.0
A/Jeju/1047/2023,EPI_ISL_16384445,2022-10-26,1.0
A/Jeju/1047/2023,EPI_ISL_16384435,2022-10-14,1.0
A/Jeju/1047/2023,EPI_ISL_16384432,2022-08-18,1.0
other,EPI_ISL_16384433,2022-10-13,1.0
other,EPI_ISL_16384439,2022-09-21,1.0
A/Jeju/1047/2023,EPI_ISL_16384436,2022-10-11,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_12124649,2022-04-03,0.3333333333333333
A/SENDAI/45/2023,EPI_ISL_12124649,2022-04-03,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_12124649,2022-04-03,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_16384427,2022-01-01,1.0
A/Jeju/1047/2023,EPI_ISL_16384424,2022-08-18,1.0
A/Jeju/1047/2023,EPI_ISL_16384425,2022-10-13,1.0
A/Jeju/1047/2023,EPI_ISL_16384430,2022-10-21,1.0
A/Jeju/1047/2023,EPI_ISL_16384431,2022-10-21,1.0
A/Finland/399/2023,EPI_ISL_16384428,2022-10-11,0.3333333333333333
A/SouthSudan/631/2023,EPI_ISL_16384428,2022-10-11,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16384428,2022-10-11,0.3333333333333333
other,EPI_ISL_13697418,2022-06-29,1.0
A/Jeju/1047/2023,EPI_ISL_16384422,2022-01-01,1.0
other,EPI_ISL_16384423,2022-09-07,1.0
other,EPI_ISL_13697420,2022-06-21,1.0
A/Busan/1301/2023,EPI_ISL_13697422,2022-06-21,1.0
A/Jeju/1047/2023,EPI_ISL_16384408,2022-10-12,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_12124635,2022-04-01,0.3333333333333333
A/SENDAI/45/2023,EPI_ISL_12124635,2022-04-01,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_12124635,2022-04-01,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_18776184,2022-09-27,1.0
A/Jeju/1047/2023,EPI_ISL_18776185,2022-09-27,1.0
A/Jeju/1047/2023,EPI_ISL_18776182,2022-09-27,1.0
A/Jeju/1047/2023,EPI_ISL_16384402,2022-08-31,1.0
A/Surat_Thani/P152/2023,EPI_ISL_16384403,2022-10-28,0.5
A/Jeju/1047/2023,EPI_ISL_16384403,2022-10-28,0.5
A/Jeju/1047/2023,EPI_ISL_16384401,2022-10-17,1.0
A/Finland/399/2023,EPI_ISL_16384406,2022-10-27,0.3333333333333333
A/SouthSudan/631/2023,EPI_ISL_16384406,2022-10-27,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16384406,2022-10-27,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_16384407,2022-10-26,1.0
other,EPI_ISL_16384404,2022-09-05,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_12124621,2022-03-27,0.3333333333333333
A/SENDAI/45/2023,EPI_ISL_12124621,2022-03-27,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_12124621,2022-03-27,0.3333333333333333
A/Busan/1301/2023,EPI_ISL_11403528,2022-03-15,1.0
other,EPI_ISL_11403526,2022-03-13,1.0
A/South_Dakota/22/2023,EPI_ISL_18677971,2022-01-01,1.0
A/South_Dakota/22/2023,EPI_ISL_18677963,2022-01-01,1.0
A/South_Dakota/22/2023,EPI_ISL_18678006,2022-01-01,1.0
other,EPI_ISL_16024308,2022-09-30,1.0
other,EPI_ISL_16024309,2022-09-22,1.0
other,EPI_ISL_16024310,2022-09-22,1.0
other,EPI_ISL_16024311,2022-09-09,1.0
A/Finland/399/2023,EPI_ISL_16024304,2022-10-09,0.3333333333333333
A/SouthSudan/631/2023,EPI_ISL_16024304,2022-10-09,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16024304,2022-10-09,0.3333333333333333
A/Finland/399/2023,EPI_ISL_16024305,2022-09-30,0.3333333333333333
A/SouthSudan/631/2023,EPI_ISL_16024305,2022-09-30,0.3333333333333333
A/Catalonia/2041146NS/2023,EPI_ISL_16024305,2022-09-30,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_12124860,2022-04-01,1.0
other,EPI_ISL_16024306,2022-09-29,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_16024307,2022-10-10,1.0
A/Finland/391/2023,EPI_ISL_16024316,2022-10-12,1.0
other,EPI_ISL_16024317,2022-10-12,1.0
A/Busan/1301/2023,EPI_ISL_9994899,2022-01-09,1.0
A/Jeju/1047/2023,EPI_ISL_16024312,2022-10-02,1.0
other,EPI_ISL_16024313,2022-09-14,1.0
A/Schleswig-Holstein/4/2023,EPI_ISL_12124854,2022-04-03,0.3333333333333333
A/SENDAI/45/2023,EPI_ISL_12124854,2022-04-03,0.3333333333333333
A/Jeju/1047/2023,EPI_ISL_12124854,2022-04-03,0.3333333333333333
A/Busan/1301/2023,EPI_ISL_12124842,2022-04-04,1.0
A/Busan/1301/2023,EPI_ISL_10945203,2022-03-03,1.0
other,EPI_ISL_18678533,2022-01-01,1.0
other,EPI_ISL_10945215,2022-03-04,1.0
other,EPI_ISL_10945214,2022-03-03,1.0
other,EPI_ISL_16024302,2022-09-04,1.0
other,EPI_ISL_16024303,2022-09-14,1.0
A/Busan/1301/2023,EPI_ISL_10945211,2022-03-02,1.0
other,EPI_ISL_10945208,2022-03-03,1.0
other,EPI_ISL_9994937,2022-01-15,1.0
other,EPI_ISL_9994938,2022-01-15,1.0
A/Finland/391/2023,EPI_ISL_18678590,2022-01-01,1.0
other,EPI_ISL_12124826,2022-04-04,1.0
other,EPI_ISL_9994940,2022-01-17,1.0
other,EPI_ISL_9994930,2022-01-15,1.0
other,EPI_ISL_18678582,2022-01-01,1.0
other,EPI_ISL_12124811,2022-03-28,1.0
A/Finland/391/2023,EPI_ISL_18776924,2022-04-12,1.0
